time_s;ndir_ppm;qcl_ppm
4685.0;23.2;25.0
4690.0;23.4;25.0
4695.0;23.4;24.9
4700.0;23.5;24.9
4705.0;23.3;25.0
4710.0;23.1;24.9
4715.0;23.0;25.0
4720.0;23.2;24.9
4725.0;23.6;25.0
4730.0;23.6;24.9
4735.0;23.7;25.0
4740.0;23.6;24.9
4745.0;23.8;25.0
4750.0;23.6;24.9
4755.0;23.2;25.0
4760.0;23.6;24.9
4765.0;23.1;24.9
4770.0;23.2;25.0
4775.0;23.6;25.0
4780.0;23.5;24.9
4785.0;23.4;24.9
4790.0;23.2;25.0
4795.0;22.9;24.9
4800.0;23.1;25.0
4805.0;22.8;24.9
4810.0;23.5;24.9
4815.0;23.6;24.9
4820.0;23.4;24.9
4825.0;23.2;24.9
4830.0;23.7;25.0
4835.0;24.4;25.0
4840.0;24.2;24.9
4845.0;23.9;25.0
4850.0;23.2;24.9
4855.0;22.9;24.9
4860.0;23.2;24.9
4865.0;23.1;24.9
4870.0;23.4;24.9
4875.0;23.0;25.0
4880.0;22.8;25.0
4885.0;23.1;24.9
4890.0;23.9;24.9
4895.0;23.4;24.9
4900.0;23.6;24.9
4905.0;23.2;24.9
4910.0;23.4;25.0
4915.0;23.7;24.9
4920.0;23.7;24.9
4925.0;22.9;24.9
4930.0;22.8;24.9
4935.0;23.2;24.9
4940.0;23.2;24.9
4945.0;23.6;24.9
4950.0;23.6;24.9
4955.0;22.9;24.9
4960.0;22.8;24.9
4965.0;22.5;24.9
4970.0;22.6;24.9
4975.0;23.1;24.9
4980.0;23.6;25.0
4985.0;23.2;24.9
4990.0;23.7;24.9
4995.0;23.5;24.9
5000.0;23.1;24.9
5005.0;23.4;24.9
5010.0;23.6;24.9
5015.0;23.3;24.9
5020.0;23.4;25.0
5025.0;23.0;25.0
5030.0;23.5;25.0
5035.0;23.7;24.9
5040.0;22.7;24.9
5045.0;23.3;24.9
5050.0;23.2;25.0
5055.0;23.8;24.9
5060.0;23.3;24.9
5065.0;23.4;24.9
5070.0;23.7;25.0
5075.0;23.5;24.9
5080.0;22.9;25.0
5085.0;23.7;25.0
5090.0;23.7;24.9
5095.0;24.3;24.9
5100.0;24.0;24.9
5105.0;23.3;24.9
5110.0;23.1;24.9
5115.0;23.2;24.9
5120.0;23.2;24.9
5125.0;23.1;25.0
5130.0;23.3;25.0
5135.0;24.5;24.9
5140.0;23.9;24.9
5145.0;23.7;24.9
5150.0;23.6;24.9
5155.0;23.4;24.9
5160.0;23.2;24.9
5165.0;22.7;24.9
5170.0;23.4;25.0
5175.0;23.2;24.9
5180.0;23.1;25.0
5185.0;23.3;24.9
5190.0;23.7;25.0
5195.0;23.2;24.9
